_ID,X,Y
2,1233,430
2,1232,430
2,1232,429
2,1232,428
2,1231,428
2,1230,428
2,1229,428
2,1229,427
2,1228,427
2,1228,428
2,1227,428
2,1226,428
2,1224,428
2,1223,428
2,1224,427
2,1223,427
2,1222,427
2,1221,427
2,1220,427
2,1219,427
2,1219,426
2,1219,425
2,1218,425
2,1217,425
2,1217,424
2,1216,424
2,1216,425
2,1215,425
2,1214,425
2,1213,425
2,1213,424
2,1212,424
2,1212,423
2,1210,422
2,1210,423
2,1209,423
2,1208,422
2,1207,422
2,1206,422
2,1206,421
2,1205,421
2,1205,420
2,1204,420
2,1203,420
2,1203,419
2,1202,419
2,1202,418
2,1201,418
2,1201,417
2,1200,417
2,1200,418
2,1200,419
2,1199,419
2,1199,420
2,1199,421
2,1198,421
2,1199,422
2,1198,422
2,1197,422
2,1196,423
2,1195,423
2,1195,424
2,1194,423
2,1193,423
2,1192,422
2,1193,422
2,1193,421
2,1194,421
2,1194,420
2,1193,420
2,1193,419
2,1193,418
2,1193,417
2,1193,416
2,1194,416
2,1194,415
2,1194,414
2,1193,414
2,1193,413
2,1192,413
2,1191,413
2,1190,413
2,1189,413
2,1188,413
2,1188,414
2,1187,413
2,1185,414
2,1184,413
2,1183,413
2,1183,414
2,1184,414
2,1183,415
2,1183,416
